year,California,Great-Lakes-and-Missouri,Mid-Atlantic,New-England,New-York,Other-Pacific,Plains,South,Southwest-and-Mountain,Texas,Washington
1980,8544,14837,10462,5228,5434,564,2101,8033,2615,3423,1025
1981,8460,14033,10376,5403,5377,588,2083,7891,2637,3565,1028
1982,8570,14519,10665,5286,5365,613,2318,7999,2704,3832,983
1983,8714,13921,10103,5410,5434,605,2179,7915,2754,3700,1016
1984,9735,14681,10651,5810,5528,746,2346,8122,2894,4158,1069
1985,10516,15769,11423,6122,5944,817,2322,9092,3035,4110,1247
1986,11458,16828,11485,6399,6312,1055,2354,9396,3238,4400,1457
1987,12876,18285,12428,7397,6764,1061,2408,11188,3684,5024,1591
1988,14345,20858,13310,8233,7915,1127,2499,12707,4369,5803,1866
1989,15226,21935,14248,8442,8705,1197,2832,13811,4795,6209,1983
1990,16293,22788,14452,8859,9424,1251,2942,14484,5822,6810,2003
1991,16880,23330,14375,9292,10028,1400,3005,14455,6041,7007,2056
1992,18732,23755,14420,9310,10506,1376,3197,15515,6458,7618,2147
1993,19534,23765,14285,9270,9259,1675,3198,15342,6703,7883,2317
1994,22860,25666,15398,10421,10340,1902,3315,17086,7658,8834,2816
1995,27951,27776,16689,11663,10693,2189,3666,19262,9300,9753,3505
1996,29992,28095,15813,11868,11966,2347,3545,18814,10458,11004,3620
1997,37338,31388,19269,13346,13030,2511,4122,21387,11405,13055,4366
1998,41084,31729,19974,14674,14322,3104,4124,22174,12463,13849,4917
1999,46286,34477,20922,16094,14928,3224,4538,24463,12740,14709,5736
2000,52193,37259,20568,16915,16540,3958,4603,26862,14278,15497,7441
2001,58999,41125,22321,19004,17369,4944,5291,28048,16195,16069,8449
2002,62290,41797,22375,19044,16763,5023,5661,28250,16353,16556,8775
2003,61332,43117,21841,19772,16979,5552,5797,29708,16804,16716,11094
2004,69234,46724,24672,21671,19134,7090,6858,32891,18514,20379,14006
2005,72938,50490,26433,23113,21612,7240,7324,37506,19400,22105,17659
2006,77050,51815,27060,23842,22430,6205,7202,39797,19539,21312,16381
2007,81843,51548,26348,23420,23811,6138,7533,39595,19627,21445,17589
2008,75090,47371,24038,21254,21808,5069,7304,37093,18763,20979,17952
2009,71406,43721,22280,19307,18117,4797,6832,33293,16412,18383,15108
2010,75377,43797,22194,20036,19183,4871,6821,33787,16915,18244,17812
2011,85273,45837,23422,21971,20046,6585,6951,37374,18043,19982,19460
2012,97425,49387,24479,24066,22170,7420,7143,39174,19603,21817,18983
