year,Australia-NZ-Canada,China,France,Germany,India,Japan,Latin-America-and-Africa,Other-W-Eur-and-Near-East,Russia-and-E-Eur,South-Korea,United-Kingdom,United-States
1980,2156,27,2713,24769,22,221884,215,10404,1930,47,1974,62266
1981,2361,44,3604,26064,58,256978,275,11861,1908,185,4564,61441
1982,2411,57,4483,25401,43,277359,317,12887,1997,673,8611,62854
1983,2615,59,6534,27197,63,295053,284,13834,2120,849,9710,61751
1984,3020,72,8921,28809,69,329585,275,15131,2136,594,8176,65740
1985,3087,3572,9544,29514,81,350210,308,16169,2145,323,7571,70397
1986,3519,3029,10321,30950,118,364051,346,17935,1435,394,7966,74382
1987,4080,3568,11110,32521,76,384506,359,21878,1582,499,7947,82706
1988,4271,4115,12165,34769,73,381127,445,22628,1948,652,8273,93032
1989,4813,4195,12918,34460,109,390095,419,23248,1667,952,7571,99383
1990,5733,5322,12555,30821,107,407392,421,19813,1403,1533,6995,105128
1991,5539,6411,12829,29768,122,411240,532,19631,1485,2910,6991,107869
1992,5779,8532,12677,31365,183,389420,441,20085,1957,4984,7954,113034
1993,5590,10477,12898,30737,249,410537,575,21700,2467,8668,7746,113231
1994,6075,9504,13389,34127,286,392879,570,23058,2312,15813,7833,126296
1995,6134,8697,14036,35894,299,403198,617,24609,2612,39190,9053,142447
1996,6502,9646,14374,41306,575,407695,661,27304,2746,53549,8899,147522
1997,7911,10325,24240,46898,605,420985,697,32361,2819,58962,9882,171217
1998,9039,11706,24882,55499,792,423469,766,35174,2906,54705,10700,182414
1999,9658,14155,26732,61969,935,424980,982,38861,3198,94071,11613,198117
2000,10948,22820,27677,66600,1566,454149,1009,42923,3393,136097,12164,216114
2001,11650,25413,27986,68342,1873,458358,1043,44750,3615,121315,13710,237814
2002,12448,36255,28396,67221,2804,436266,1319,44658,3865,132543,12890,242887
2003,12690,52164,29424,68305,3198,421520,1441,43826,4295,145351,12312,248712
2004,16589,64234,26232,94408,3515,420763,2004,50124,4944,236501,13005,281173
2005,17131,89213,26591,98812,3442,410601,2116,53019,5061,236797,13164,305820
2006,17914,118951,28302,135680,4189,380837,2480,58574,5400,303642,13075,312633
2007,18194,148847,30173,143471,4980,361260,2786,61051,6400,251722,14267,318897
2008,16634,187657,32854,145274,5839,347441,2750,62759,6394,180169,13984,296721
2009,13984,225559,32412,137512,5969,301042,2552,61933,6445,190252,13422,269656
2010,15029,274314,34271,129272,7474,289754,3091,60987,7749,335954,13596,279037
2011,15820,363441,33988,92135,8042,287618,4172,59911,8126,343819,14161,304944
2012,16442,388022,35065,92256,10166,250668,4628,61925,9791,368936,15777,331667
