year,Australia-NZ-Canada,China,France,Germany,India,Japan,Latin-America-and-Africa,Other-W-Eur-and-Near-East,Russia-and-E-Eur,South-Korea,United-Kingdom,United-States
1980,0.00656502449704178,8.221505631731358e-05,0.0082610906588471,0.07542165666383481,6.699004588818143e-05,0.6756372428115113,0.0006546754484526822,0.03168020170093817,0.005876854025645008,0.00014311509803384214,0.006010834117421371,0.1896000998760684
1981,0.006392431967033354,0.00011913045597182023,0.009757867348237276,0.07056855010112552,0.00015703560105376302,0.6957705980619641,0.0007445653498238764,0.03211378041549454,0.0051659297725962046,0.0005008894171542441,0.012357077296713353,0.16635214421283198
1982,0.006071625538601789,0.00014354320020750806,0.011289546781232607,0.06396738295563004,0.00010828697559513766,0.6984736573044602,0.000798301657294387,0.032453354755686954,0.005029048610778835,0.0016948170831518057,0.021685096438365824,0.15828533869899494
1983,0.006225167770056824,0.0001404531160356989,0.015554587460631467,0.06474412536987971,0.00014997536119066153,0.7023917499267978,0.0006760794060023472,0.03293268486843828,0.005046789932130198,0.0020210965341408197,0.0231152501136718,0.14700204014102444
1984,0.006529334440293345,0.00015566625155666251,0.01928748097412481,0.06228595890410959,0.00014918015774180159,0.7125730766569808,0.000594558599695586,0.03271369517088695,0.004618098796180988,0.0012842465753424657,0.017676767676767676,0.14213193579631936
1985,0.006262666837079369,0.007246597324926307,0.019362129022703435,0.05987572045013298,0.00016432653508371525,0.7104789611317026,0.0006248465778491888,0.03280241661442706,0.004351610095735422,0.0006552774176795064,0.015359459223688988,0.14281598876899138
1986,0.006840368085280088,0.005887887164056091,0.02006235834276095,0.06016180512629119,0.00022937295653965625,0.7076563915357491,0.000672568160701026,0.03486274555541301,0.002789408412155989,0.0007658724142086828,0.01548461840504154,0.14458660384180264
1987,0.007406977081941499,0.0064774740755802135,0.02016948906381619,0.05903977982397537,0.0001379731025067534,0.6980458651639702,0.00065174136578848,0.039718099166351994,0.0028720190548116305,0.0009059023440903942,0.01442726638975223,0.1501474133674151
1988,0.007579441275745433,0.007302599121913477,0.02158836411131894,0.06170208234989299,0.00012954793095982595,0.6763590997661039,0.0007897099900975691,0.04015630933916358,0.003456977664516999,0.001157058232682281,0.014681507299049863,0.16509730291855518
1989,0.008300708828449717,0.007234879188727731,0.022278943828363484,0.05943121259679561,0.00018798613386682302,0.6727747788144801,0.0007226255971577876,0.0400945104599624,0.002874980597761413,0.0016418605453322526,0.013057275408309333,0.17140023800079335
1990,0.009599429358882696,0.008911244208612194,0.02102229820351862,0.05160718860459158,0.00017916255736969273,0.6821438558126529,0.0007049293145106602,0.03317521260902544,0.002349206242894195,0.002566880378016252,0.01171254288599066,0.1760280498239351
1991,0.009150426133313069,0.010590969839442153,0.02119350367652525,0.0491767259679479,0.00020154395888503238,0.6793683414088584,0.0008788638207117806,0.0324304053841973,0.0024532194995432223,0.00480731901930692,0.011549129643977552,0.17819955164729145
1992,0.009689626784214242,0.0143055711581443,0.021255476508649236,0.05258957329760853,0.0003068353870066112,0.6529389967656533,0.0007394229818028172,0.03367644124605348,0.0032812942752564926,0.008356653381644537,0.013336440810112489,0.18952366740385404
1993,0.008945789157831566,0.01676655331066213,0.020640928185637127,0.049189037807561516,0.0003984796959391878,0.6569905981196239,0.0009201840368073615,0.034726945389077814,0.003947989597919584,0.013871574314862972,0.012396079215843169,0.18120584116823366
1994,0.009610182522281387,0.015034596657080212,0.021180367702193493,0.05398628789101183,0.0004524299919954694,0.6215043455426155,0.0009016961378930683,0.036475981662348014,0.0036574060891382,0.025014949172812436,0.012391203242309481,0.19979055338832097
1995,0.008931457542815375,0.012663333265383978,0.02043722498711389,0.05226373280759945,0.00043536123333906047,0.5870795269559951,0.0008983875617732453,0.03583212237873224,0.003803222546761291,0.05706289877778522,0.01318168978400841,0.2074110421586928
1996,0.009020795555919359,0.013382742837957266,0.01994231241476236,0.057307440977053994,0.0007977479921029885,0.565631074157266,0.0009170633439653486,0.03788123682848696,0.0038097669327214027,0.07429322996369206,0.012346364142129557,0.20467022485394276
