year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1980,479,38,702,172,8544,937,1593,583,33,1859,770,46,154,3933,1505,434,339,529,565,105,1125,2775,2791,1312,157,899,65,226,211,408,4522,134,5434,747,73,3122,987,480,4199,140,557,42,636,3423,318,207,1283,1025,279,1275,94
1981,436,31,801,180,8460,917,1743,553,57,1822,729,55,134,3630,1518,443,360,579,580,120,1042,2800,2416,1242,136,820,56,274,185,379,4712,178,5377,816,68,3121,894,502,4012,144,522,44,617,3565,288,217,1183,1028,291,1286,78
1982,460,29,767,138,8570,965,1760,613,58,1849,760,38,93,3752,1387,502,375,586,641,96,1117,2711,2644,1413,137,764,75,213,170,398,4767,212,5365,827,61,3191,1118,546,4110,127,441,49,600,3832,329,194,1285,983,275,1368,93
1983,529,38,805,147,8714,899,1816,508,51,1734,734,51,121,3691,1425,444,334,476,670,105,1036,2772,2455,1287,144,799,77,224,140,378,4675,231,5434,797,66,3046,1046,516,3833,125,485,65,640,3700,394,214,1290,1016,269,1218,87
1984,543,39,816,175,9735,950,2056,597,52,1857,772,58,127,3728,1417,446,350,529,638,112,1120,2874,2701,1397,153,800,82,196,179,399,4681,231,5528,888,91,3325,1213,649,4201,134,500,50,577,4158,406,235,1242,1069,248,1313,103
1985,564,46,846,169,10516,1000,2066,619,52,2130,971,63,137,3870,1533,453,369,522,783,119,1129,3174,2937,1562,184,877,93,233,159,428,4903,266,5944,1035,116,3482,1105,708,4720,129,535,46,597,4110,417,206,1300,1247,302,1508,117
1986,563,50,887,158,11458,1113,2072,740,68,2208,986,90,200,4047,1505,502,478,529,789,159,1147,3302,3280,1670,163,953,99,223,152,480,4816,290,6312,1148,115,3799,974,915,4714,182,592,62,641,4400,397,204,1326,1457,293,1574,100
1987,652,51,1019,169,12876,1252,2424,838,79,2658,1193,95,180,4266,1646,517,557,598,815,168,1320,3833,3583,2018,217,975,97,258,198,539,5169,332,6764,1388,101,3941,911,915,5022,206,723,64,894,5024,514,227,1559,1591,322,1856,92
1988,769,46,1128,233,14345,1386,2522,944,69,2894,1361,92,333,5025,1781,582,451,674,936,188,1544,4344,4167,2437,222,1173,116,272,290,596,5166,387,7915,1549,111,4181,1021,989,5587,296,830,62,1065,5803,611,287,1816,1866,358,2094,118
1989,821,76,1289,246,15226,1504,2492,1137,59,3198,1503,96,340,5381,1887,652,537,765,965,190,1656,4568,4228,2440,251,1293,123,329,310,709,5883,438,8705,1654,140,4488,1090,1025,5513,218,898,84,1120,6209,682,265,2015,1983,375,2218,109
1990,747,86,1703,331,16293,1687,2628,1177,67,3560,1524,116,509,5511,1835,723,515,765,1050,193,1767,4808,4756,2567,303,1278,130,366,398,698,5742,482,9424,1728,142,4433,1127,1049,5699,283,854,69,1122,6810,765,249,2129,2003,371,2408,148
1991,671,71,1630,292,16880,1813,2717,1057,84,3499,1553,102,581,5746,1827,716,532,695,1078,216,1896,4941,4906,2682,281,1300,159,399,398,803,5622,544,10028,1789,147,4531,1145,1227,5716,282,911,66,1075,7007,778,333,2233,2056,378,2338,138
1992,652,97,1833,297,18732,1883,2798,999,96,3824,1778,123,731,5445,1979,739,551,789,918,274,1936,4881,5097,2951,285,1326,153,409,401,754,5773,536,10506,2047,158,4631,1250,1156,5616,306,936,90,1268,7618,756,297,2328,2147,393,2326,165
1993,649,95,1887,293,19534,2096,2850,922,79,3629,1714,95,590,5669,2040,780,521,825,926,203,2118,4850,4918,2903,310,1371,161,422,463,774,5705,438,9259,2102,154,4355,1216,1485,5461,281,1045,105,1225,7883,924,312,2288,2317,336,2509,144
1994,763,97,2175,368,22860,2441,2883,960,95,4408,1915,126,601,6120,2200,862,650,900,900,237,2314,5727,5403,3165,303,1547,212,461,438,857,6061,562,10340,2300,171,4732,1083,1679,5968,306,1024,88,1365,8834,1080,411,2455,2816,385,2499,149
1995,888,120,2495,333,27951,2874,2824,931,135,4723,2390,117,1083,6423,2614,1005,701,1049,1111,223,2979,6822,5443,3373,408,1607,192,466,526,921,6525,708,10693,2800,218,5400,1160,1952,6119,347,1043,116,1508,9753,1276,526,2611,3505,398,2916,146
1996,864,92,2968,372,29992,2971,2886,949,182,4374,2265,113,1479,6743,2263,1074,633,1058,963,251,2297,6835,5346,3871,398,1569,183,496,756,1028,6499,729,11966,2999,196,5470,1036,2142,5886,391,1142,110,1481,11004,1196,477,2469,3620,429,2833,176
1997,1073,78,3136,428,37338,3113,3442,1058,196,4803,2681,126,1938,6917,2611,1217,856,1193,1125,295,2629,7544,6102,4618,460,1663,248,500,771,1111,7841,704,13030,3546,262,6203,1157,2307,7545,343,1188,130,1730,13055,1312,611,2737,4366,423,3274,183
1998,1137,109,3336,458,41084,3769,3517,966,192,4902,2773,133,2108,7227,2640,1149,823,1250,1202,375,3213,8376,6224,4620,418,1658,222,545,812,1179,8161,788,14322,3717,246,6010,1208,2862,7442,413,1207,153,1683,13849,1245,814,3035,4917,392,3350,183
1999,1284,98,3201,472,46286,3802,3769,1114,257,5358,3212,134,2156,7739,2684,1289,868,1285,1157,345,3007,9169,6670,5363,451,1753,337,575,750,1362,8740,972,14928,4340,273,6169,1409,2992,7804,511,1278,124,1967,14709,1312,938,3293,5736,366,4099,210
2000,1272,90,3689,583,52193,3980,4005,1159,232,5811,3618,126,2183,8018,2616,1306,975,1693,1286,406,3488,9941,7608,5728,469,2149,262,536,1096,1288,8402,1162,16540,4562,312,6558,1329,3742,7287,429,1475,145,1976,15497,1680,846,3681,7441,436,4582,226
2001,1483,85,3922,540,58999,5125,4470,1162,276,6050,4037,144,2620,8484,3154,1503,1187,1843,1090,382,4256,11478,8054,6286,478,2482,270,679,1298,1376,8752,1080,17369,4695,307,7498,1470,4715,7875,454,1578,145,1896,16069,1598,844,3959,8449,399,5167,282
2002,1469,107,4193,592,62290,4837,4732,1190,252,6398,4272,159,2702,8723,3358,1552,1328,1528,1105,407,3772,11254,8530,6825,513,2222,318,720,1358,1453,9093,1026,16763,4786,282,7026,1624,4757,8068,462,1413,155,1903,16556,1643,736,3899,8775,372,5113,276
2003,1438,106,4504,495,61332,5005,4886,1180,250,6895,4129,182,2407,9259,3370,1671,1328,1601,1189,386,3450,11473,8572,7148,565,2301,250,717,1417,1521,8962,1082,16979,5215,326,7112,1600,5264,7999,583,1634,155,2084,16716,1801,923,4049,11094,414,5355,338
2004,1473,101,5317,581,69234,5217,4952,1343,344,7509,4200,256,2325,10154,3598,1702,1752,1997,1199,431,3687,13036,9355,7759,643,2813,284,783,1860,1662,9909,1072,19134,6132,431,7583,2030,6733,9389,601,1834,160,2177,20379,2081,989,4630,14006,516,5462,358
2005,1464,145,5430,693,72938,5953,5147,1358,355,8588,5049,258,1825,11351,3953,1969,1729,2374,1322,407,4013,14034,9728,8175,720,3026,356,853,1816,1818,10976,1258,21612,6893,538,8617,2056,6837,9731,545,1905,179,2790,22105,2362,1162,5156,17659,552,5640,400
2006,1368,127,5036,624,77050,5757,5170,1533,362,8909,5586,265,1775,12297,3724,2088,1666,2348,1374,528,4242,14466,9540,8242,749,3150,347,881,2022,1935,10912,1396,22430,7441,460,9384,1928,5813,10011,573,2047,179,3339,21312,2787,1170,5409,16381,603,5478,419
2007,1376,134,5671,688,81843,5164,5072,1436,367,8633,5120,259,1570,12376,4025,2143,2065,2435,1371,523,4176,14049,9749,7443,579,3451,323,844,2044,1904,10383,1464,23811,8227,480,9267,1801,5745,9986,585,2260,200,2721,21445,2988,1287,5596,17589,589,5237,403
2008,1422,117,5638,647,75090,4990,4578,1382,297,8030,4504,281,1367,10845,3655,2006,2297,2308,1243,550,3443,12650,10446,6503,607,3104,239,730,2326,1751,9835,1329,21808,8178,462,8086,1578,4671,9081,513,2335,231,2233,20979,2553,1212,5090,17952,496,4732,321
2009,1295,158,4677,674,71406,4778,4029,1330,232,7020,4458,230,1238,9963,3404,1662,2305,2016,1209,366,3329,12017,9486,6768,541,2674,249,652,1700,1534,9303,1197,18117,6365,374,7356,1614,4409,8086,527,2250,225,2337,18383,2327,834,4681,15108,447,4070,246
2010,1238,169,4724,645,75377,5000,4228,1217,222,7571,4210,180,1345,10090,3535,1943,1917,2118,1241,434,3349,12610,9256,6689,552,2641,292,712,1716,1498,8993,1137,19183,6404,390,7499,1613,4522,8413,505,2379,246,2386,18244,2419,761,4660,17812,383,4087,282
2011,1389,137,4848,660,85273,5450,4573,1213,242,8053,4782,237,1513,10887,3617,2061,1642,2517,1341,443,3570,13691,9545,6805,550,2486,316,781,2032,1778,9546,1170,20046,6712,475,8203,1752,6211,8851,584,3019,240,2446,19982,2385,902,5382,19460,523,4294,329
2012,1284,138,5672,763,97425,5693,5591,1184,297,8515,4943,237,1366,12050,4269,2149,1817,2311,1363,515,3872,14511,10385,6870,500,3039,368,844,2248,1953,9892,1149,22170,7515,447,8097,1625,7045,9234,581,3152,261,2672,21817,2761,915,5634,18983,522,4677,346
