year,Australia/ NZ,Canada,China,France,Germany,India,Israel,Japan,Latin America,Other E Europe,Other W Europe,Russia,South Africa,South Korea,United Kingdom,United States
1980,352,1804,27,2713,24769,22,201,221884,131,1930,10203,,84,47,1974,62266
1981,449,1912,44,3604,26064,58,151,256978,151,1908,11710,,124,185,4564,61441
1982,547,1864,57,4483,25401,43,193,277359,171,1997,12694,,146,673,8611,62854
1983,609,2006,59,6534,27197,63,257,295053,136,2120,13577,,148,849,9710,61751
1984,716,2304,72,8921,28809,69,331,329585,160,2136,14800,,115,594,8176,65740
1985,881,2206,3572,9544,29514,81,320,350210,199,2144,15849,1,109,323,7571,70397
1986,1079,2440,3029,10321,30950,118,368,364051,216,1411,17567,24,130,394,7966,74382
1987,1118,2962,3568,11110,32521,76,443,384506,189,1565,21435,17,170,499,7947,82706
1988,1005,3266,4115,12165,34769,73,440,381127,289,1922,22188,26,156,652,8273,93032
1989,971,3842,4195,12918,34460,109,578,390095,272,1614,22670,53,147,952,7571,99383
1990,1091,4642,5322,12555,30821,107,549,407392,291,1366,19264,37,130,1533,6995,105128
1991,976,4563,6411,12829,29768,122,610,411240,313,1394,19021,91,219,2910,6991,107869
1992,1068,4711,8532,12677,31365,183,807,389420,292,1307,19278,650,149,4984,7954,113034
1993,1059,4531,10477,12898,30737,249,960,410537,357,1102,20740,1365,218,8668,7746,113231
1994,1076,4999,9504,13389,34127,286,1226,392879,385,955,21832,1357,185,15813,7833,126296
1995,900,5234,8697,14036,35894,299,1321,403198,437,1158,23288,1454,180,39190,9053,142447
1996,925,5577,9646,14374,41306,575,1290,407695,510,875,26014,1871,151,53549,8899,147522
1997,872,7039,10325,24240,46898,605,1638,420985,517,1172,30723,1647,180,58962,9882,171217
1998,1262,7777,11706,24882,55499,792,1981,423469,591,1079,33193,1827,175,54705,10700,182414
1999,1398,8260,14155,26732,61969,935,2511,424980,749,1147,36350,2051,233,94071,11613,198117
2000,1844,9104,22820,27677,66600,1566,2841,454149,812,1335,40082,2058,197,136097,12164,216114
2001,1918,9732,25413,27986,68342,1873,3356,458358,872,1466,41394,2149,171,121315,13710,237814
2002,2233,10215,36255,28396,67221,2804,3291,436266,1046,1820,41367,2045,273,132543,12890,242887
2003,2581,10109,52164,29424,68305,3198,3022,421520,1235,2143,40804,2152,206,145351,12312,248712
2004,4253,12336,64234,26232,94408,3515,3715,420763,1591,2701,46409,2243,413,236501,13005,281173
2005,4630,12501,89213,26591,98812,3442,4821,410601,1786,2682,48198,2379,330,236797,13164,305820
2006,4426,13488,118951,28302,135680,4189,5307,380837,2041,2838,53267,2562,439,303642,13075,312633
2007,4700,13494,148847,30173,143471,4980,5474,361260,2370,3624,55577,2776,416,251722,14267,318897
2008,4718,11916,187657,32854,145274,5839,5340,347441,2351,4022,57419,2372,399,180169,13984,296721
2009,3151,10833,225559,32412,137512,5969,4708,301042,2153,4093,57225,2352,399,190252,13422,269656
2010,3247,11782,274314,34271,129272,7474,5085,289754,2618,4674,55902,3075,473,335954,13596,279037
2011,3048,12772,363441,33988,92135,8042,6451,287618,3377,4828,53460,3298,795,343819,14161,304944
2012,3101,13341,388022,35065,92256,10166,7130,250668,3910,6199,54795,3592,718,368936,15777,331667
