year,Australia/ NZ,Canada,China,France,Germany,India,Israel,Japan,Latin America,Other E. Europe,Other W. Europe,Russia,South Africa,South Korea,United Kingdom,United States
1980,0.001071840734210903,0.005493183762830878,8.221505631731358e-05,0.0082610906588471,0.07542165666383481,6.699004588818143e-05,0.0006120454192511122,0.6756372428115113,0.0003988952732432622,0.005876854025645008,0.03106815628168705,,0.00025578017520942,0.00014311509803384214,0.006010834117421371,0.1896000998760684
1981,0.0012156721529851657,0.005176759814048189,0.00011913045597182023,0.009757867348237276,0.07056855010112552,0.00015703560105376302,0.00040883406481238306,0.6957705980619641,0.00040883406481238306,0.0051659297725962046,0.031704946350682155,,0.0003357312850114934,0.0005008894171542441,0.012357077296713353,0.16635214421283198
1982,0.0013775110616404721,0.004694114476961316,0.00014354320020750806,0.011289546781232607,0.06396738295563004,0.00010828697559513766,0.00048603223929910626,0.6984736573044602,0.0004306296006225242,0.005029048610778835,0.03196732251638785,,0.00036767205667186277,0.0016948170831518057,0.021685096438365824,0.15828533869899494
1983,0.0014497618248430614,0.004775405945213762,0.0001404531160356989,0.015554587460631467,0.06474412536987971,0.00014997536119066153,0.0006118042512063494,0.7023917499267978,0.0003237563352687297,0.005046789932130198,0.03232088061723193,,0.00035232307073361757,0.0020210965341408197,0.0231152501136718,0.14700204014102444
1984,0.001548014390480144,0.0049813200498132005,0.00015566625155666251,0.01928748097412481,0.06228595890410959,0.00014918015774180159,0.0007156323509063235,0.7125730766569808,0.00034592500345925005,0.004618098796180988,0.031998062819980626,,0.00024863359623633597,0.0012842465753424657,0.017676767676767676,0.14213193579631936
1985,0.0017873046593673227,0.004475362177712047,0.007246597324926307,0.019362129022703435,0.05987572045013298,0.00016432653508371525,0.0006491912497134429,0.7104789611317026,0.0004037158084155473,0.004349581373080068,0.032153225364713614,2.028722655354509e-06,0.0002211307694336415,0.0006552774176795064,0.015359459223688988,0.14281598876899138
1986,0.002097401865307535,0.004742966219972553,0.005887887164056091,0.02006235834276095,0.06016180512629119,0.00022937295653965625,0.0007153326102253687,0.7076563915357491,0.0004198691407844555,0.002742756285402161,0.03414741294518764,4.665212675382839e-05,0.00025269901991657046,0.0007658724142086828,0.01548461840504154,0.14458660384180264
1987,0.002029656955296715,0.005377320126644785,0.0064774740755802135,0.02016948906381619,0.05903977982397537,0.0001379731025067534,0.0008042379527696285,0.6980458651639702,0.0003431173207075842,0.0028411566503035407,0.03891386121358236,3.086240450808958e-05,0.0003086240450808958,0.0009059023440903942,0.01442726638975223,0.1501474133674151
1988,0.0017835023371866449,0.0057959389385587885,0.007302599121913477,0.02158836411131894,0.06170208234989299,0.00012954793095982595,0.0007808368441414166,0.6763590997661039,0.0005128678362656123,0.0034108373055450063,0.039375472495022164,4.61403589719928e-05,0.0002768421538319568,0.001157058232682281,0.014681507299049863,0.16509730291855518
1989,0.0016746287705016987,0.006626080057948019,0.007234879188727731,0.022278943828363484,0.05943121259679561,0.00018798613386682302,0.0009968439025231533,0.6727747788144801,0.00046910301295207215,0.0027835744959729576,0.03909766655743925,9.140610178845524e-05,0.0002535225842057155,0.0016418605453322526,0.013057275408309333,0.17140023800079335
1990,0.0018267883186012595,0.007772641040281436,0.008911244208612194,0.02102229820351862,0.05160718860459158,0.00017916255736969273,0.0009192546167846852,0.6821438558126529,0.0004872551793886036,0.00228725283520561,0.03225595799224076,6.195340768858533e-05,0.00021767413512205659,0.002566880378016252,0.01171254288599066,0.1760280498239351
1991,0.001612351671080259,0.00753807446223281,0.010590969839442153,0.02119350367652525,0.0491767259679479,0.00020154395888503238,0.001007719794425162,0.6793683414088584,0.0005170758945165175,0.0023028875302109437,0.03142268558977214,0.00015033196933227826,0.00036178792619526303,0.00480731901930692,0.011549129643977552,0.17819955164729145
1992,0.0017907114389238293,0.007898915345290412,0.0143055711581443,0.021255476508649236,0.05258957329760853,0.0003068353870066112,0.0013530937558160396,0.6529389967656533,0.0004895952623274889,0.0021914418077466713,0.032323347490237436,0.0010898524675098213,0.00024982771947532826,0.008356653381644537,0.013336440810112489,0.18952366740385404
1993,0.0016947389477895579,0.007251050210042008,0.01676655331066213,0.020640928185637127,0.049189037807561516,0.0003984796959391878,0.0015363072614522904,0.6569905981196239,0.0005713142628525705,0.0017635527105421085,0.03319063812762552,0.0021844368873774754,0.00034886977395479096,0.013871574314862972,0.012396079215843169,0.18120584116823366
1994,0.0017021492006542834,0.007908033321627103,0.015034596657080212,0.021180367702193493,0.05398628789101183,0.0004524299919954694,0.0019394376579945645,0.6215043455426155,0.000609040373840055,0.0015107365117331233,0.03453654400435345,0.002146669577405077,0.0002926557640530134,0.025014949172812436,0.012391203242309481,0.19979055338832097
1995,0.001310451872926938,0.0076210056698884365,0.012663333265383978,0.02043722498711389,0.05226373280759945,0.00043536123333906047,0.0019234521379294278,0.5870795269559951,0.0006362971871878576,0.0016861147431659934,0.03390867024080281,0.0021171078035952975,0.0002620903745853876,0.05706289877778522,0.01318168978400841,0.2074110421586928
1996,0.0012833337264265467,0.007737461829492812,0.013382742837957266,0.01994231241476236,0.057307440977053994,0.0007977479921029885,0.0017897302779354004,0.565631074157266,0.000707567784300042,0.0012139643358088955,0.03609150655055156,0.002595802596912507,0.00020949555966530656,0.07429322996369206,0.012346364142129557,0.20467022485394276
1997,0.001108143072453749,0.008945205375002223,0.013121074797115778,0.030804344124173023,0.05959827272011,0.0007688377968285759,0.0020815806796780287,0.5349903799964926,0.0006570068445626012,0.0014893849551786626,0.039042981209858406,0.002093017936159776,0.00022874512963494818,0.07492927963075453,0.012558107616958655,0.21758363811503847
1998,0.0015540876692625594,0.009576972903213094,0.014415333008231,0.030640894918059436,0.06834414544881362,0.0009753070000443322,0.0024394989483432095,0.5214801515173905,0.0007277859053361115,0.0013287326427371647,0.04087546117736303,0.0022498559205568116,0.00021550344066636126,0.06736637555230453,0.013176496086457518,0.22463339786122072
1999,0.0015791774496171228,0.009330476204461684,0.01598945407677423,0.03019640313531111,0.07000003388792811,0.0010561737592217524,0.0028364195822522145,0.480056389512364,0.0008460686049808477,0.0012956484511522461,0.041060872885252085,0.002316804684667181,0.0002631962416028538,0.10626237615374275,0.0131180169688152,0.22379248840185662
2000,0.0018524099411327427,0.009145520663813715,0.022924075301870492,0.0278032266489864,0.06690374299318907,0.0015731420649749864,0.0028539569646193717,0.4562202398890965,0.000815703292949993,0.001341088541980592,0.04026480220199707,0.0020673859321318788,0.0001978984590038776,0.1367176983505113,0.01221947642296024,0.21709963233078175
2001,0.00188803871365304,0.009579975370840137,0.025016020766457092,0.02754882765395932,0.06727442219420024,0.0018437416635412637,0.0033035755594471336,0.45119793989185614,0.000858378393277086,0.001443099454752532,0.04074737982948589,0.002115430237560158,0.00016832879042474964,0.11941992520689183,0.013495834600721157,0.23409908167293225
2002,0.002185889705076198,0.009999490970601594,0.035490116998449416,0.027796920763700723,0.06580281767350071,0.0027448431406330758,0.0032215687502936707,0.4270619606246182,0.0010239322129465755,0.0017816028944194716,0.0404942675458518,0.0020018559994988017,0.00026724043416292075,0.12974669914013187,0.012618055664322522,0.2377627374817924
2003,0.002474027978275331,0.00969002279441508,0.05000201296348484,0.028204494084763016,0.06547403372959958,0.0030654558212028318,0.002896750310092232,0.4040496991098867,0.0011838142398954026,0.0020541813085796336,0.03911283906452794,0.002062808294943244,0.00019746213232263394,0.13932678832634549,0.011801717345418782,0.23840389249624727
2004,0.0035047614652589385,0.01016570360579221,0.05293318785785155,0.021616953387414175,0.07779861754342014,0.0028965992359240933,0.003061412848209959,0.34673734973118897,0.0013110922857340634,0.002225807833920619,0.038244174662873755,0.0018483846617859863,0.0003403401093703131,0.19489292059609786,0.010717005138888432,0.2317056890362689
2005,0.00366945719772351,0.009907534433853477,0.07070481317073596,0.02107441389733604,0.07831239840636187,0.0027279204480700476,0.003820832213871499,0.3254174502899505,0.001415475281886434,0.0021255905408843314,0.038198811666496274,0.0018854511173616048,0.0002615379860148506,0.18767094083138963,0.01043298802393786,0.2423743844941261
2006,0.0032033536057993295,0.009762050030506406,0.08609175661171171,0.020483803378068825,0.09819950683119137,0.0030318229224341143,0.003840984542697027,0.2756338854884318,0.0014771903997822936,0.002054025651436624,0.03855242578402912,0.0018542683999227027,0.00031772983121236006,0.21976337450793493,0.009463137911393183,0.2262706841034482
2007,0.0034506860257494595,0.009907139836481534,0.10928175805845315,0.022152670096795415,0.10533476059580867,0.0036562588102621936,0.004018947937223945,0.26523294333239356,0.001740026783197068,0.0026606991824076683,0.040803995160229305,0.0020381073207405317,0.00030542242270463303,0.18481140165397988,0.010474667559439902,0.23413051522413306
2008,0.0036334903379038196,0.009176912010695615,0.1445209614964004,0.025301969385649024,0.11188038900988544,0.004496810106617296,0.004112513438831369,0.26757598908258606,0.0018105841001296904,0.0030974773503707424,0.04422030133787609,0.0018267569057880161,0.0003072833075081865,0.13875420107880315,0.0107695483012393,0.22851481274971583
2009,0.0024993297576498845,0.008592586247102888,0.1789102890529198,0.02570875154076422,0.10907262254330401,0.004734528506319315,0.003734320691531468,0.23878236398046224,0.001707729916921676,0.0032465111704414397,0.04539008104776726,0.001865573973339425,0.00031648129904865245,0.15090526342507324,0.010646145352959933,0.21388742149439455
2010,0.0022384952238081583,0.008122559509364866,0.18911320567407178,0.02362656908380948,0.08912065123872134,0.0051526064991506545,0.003505620022502151,0.1997576055064087,0.0018048600233845882,0.0032222749233382602,0.038539069911094445,0.0021199177127225396,0.00032608815548545083,0.2316080765073132,0.00937313860883761,0.19236926139998675
2011,0.0019841463581345116,0.008314146091238183,0.2365879713079938,0.022125054599828015,0.059976812567822585,0.005235073822873275,0.004199385878059625,0.1872297267827861,0.0021983143869489,0.003142867000352173,0.03480067726570571,0.0021468880213673294,0.0005175184890803599,0.2238147036441764,0.00921833877215972,0.19850837501147328
2012,0.00195604358173594,0.008415213616233206,0.244755866711494,0.022118241919887368,0.05819308502954881,0.006412492438544845,0.004497449447848194,0.15811594084056257,0.002466343245594171,0.003910194828500835,0.03456349824612087,0.0022657557386634945,0.00045289883640322633,0.23271683162571127,0.009951789612721033,0.20920835428043016
